suburb,state,postcode,seed_priority,market_tier,confidence,why_included,research_basis,source_url,in_original_file
North Sydney,NSW,2060,P1,capital_cbd_or_professional_office_hub,high,Capital-city CBD or professional-body office hub,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Sydney,NSW,2000,P1,capital_cbd_or_professional_office_hub,high,Capital-city CBD or professional-body office hub,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,TRUE
Bella Vista,NSW,2153,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Bondi Junction,NSW,2022,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Castle Hill,NSW,2154,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Chatswood,NSW,2067,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Liverpool,NSW,2170,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Macquarie Park,NSW,2113,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Newcastle,NSW,2300,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Parramatta,NSW,2150,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
St Leonards,NSW,2065,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Wollongong,NSW,2500,P2,metro_commercial_cluster,medium,"Known metro business, advisory or office cluster","Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Albury,NSW,2640,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Alexandria,NSW,2015,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
